Running run
/home/float/g4xk7-mvbjj/HDU/hd-hws/szdl/hdu-dd/lab16_traffic_light/build/Vtraffic_light_display_unit
Time: 3, Second: 1, AN: 001, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 5, Second: 1, AN: 001, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 7, Second: 1, AN: 010, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 9, Second: 1, AN: 010, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 11, Second: 1, AN: 011, control_display_signal: 10011001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 13, Second: 1, AN: 011, control_display_signal: 10011001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 15, Second: 1, AN: 100, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 17, Second: 1, AN: 100, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 19, Second: 2, AN: 101, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 21, Second: 2, AN: 101, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 23, Second: 2, AN: 110, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 25, Second: 2, AN: 110, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 27, Second: 2, AN: 111, control_display_signal: 00001001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 29, Second: 2, AN: 111, control_display_signal: 00001001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 31, Second: 2, AN: 000, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 33, Second: 2, AN: 000, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 35, Second: 3, AN: 001, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 37, Second: 3, AN: 001, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 39, Second: 3, AN: 010, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 41, Second: 3, AN: 010, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 43, Second: 3, AN: 011, control_display_signal: 10011001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 45, Second: 3, AN: 011, control_display_signal: 10011001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 47, Second: 3, AN: 100, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 49, Second: 3, AN: 100, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 51, Second: 4, AN: 101, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 53, Second: 4, AN: 101, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 55, Second: 4, AN: 110, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 57, Second: 4, AN: 110, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 59, Second: 4, AN: 111, control_display_signal: 00001001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 61, Second: 4, AN: 111, control_display_signal: 00001001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 63, Second: 4, AN: 000, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 65, Second: 4, AN: 000, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 67, Second: 5, AN: 001, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 69, Second: 5, AN: 001, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 71, Second: 5, AN: 010, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 73, Second: 5, AN: 010, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 75, Second: 5, AN: 011, control_display_signal: 10011001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 77, Second: 5, AN: 011, control_display_signal: 10011001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 79, Second: 5, AN: 100, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 81, Second: 5, AN: 100, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 83, Second: 6, AN: 101, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 85, Second: 6, AN: 101, control_display_signal: 00000011, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 87, Second: 6, AN: 110, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 89, Second: 6, AN: 110, control_display_signal: 00001101, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 91, Second: 6, AN: 111, control_display_signal: 00001001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
Time: 93, Second: 6, AN: 111, control_display_signal: 00001001, NUM_PRI: 34, NUM_SEC: 39, RGY_PRI: GREEN, RGY_SEC: RED
